Наименование услуги, Длительность, Стоимость, Действующая скидка
Коррекция нарощенных ресниц, 2700, 1310, 5 
Подготовка к экзамену ACT, 3000, 1440 ,  
Киноклуб итальянского языка для студентов, 1800, 1760,  
Урок в группе французского языка для школьников, 6000 , 1970 ,  
Ультразвуковой пилинг, 2700 , 1440, 20 
Киноклуб немецкого языка для детей, 7200, 1670 , 5 
Урок в группе испанского языка для взрослых, 1800 , 1730 , 5 
Интенсивный онлайн-курс португальского языка для компаний по Skype, 4200, 1610 , 5 
Киноклуб английского языка для студентов, 4800 , 980 ,  
Интенсивный курс с преподавателем-носителем немецкого языка для компаний, 7200, 1180, 20 
Подготовка к экзамену IELTS Speaking Club, 5400, 1430 , 20 
Ремонт подвески ходовой, 10800, 680, 5 
Химический пилинг, 1500 , 1880 , 15 
Киноклуб немецкого языка для студентов, 3000, 1140 , 15 
Интенсивный курс с преподавателем-носителем английского языка для компаний, 6600, 1670 , 10 
Киноклуб итальянского языка для детей, 4200, 1480,  
Урок в группе японского языка для школьников, 4800, 1300 , 5 
Интенсивный курс итальянского языка с русскоязычным преподавателем для компаний, 6600, 900,  
Индивидуальный урок французского языка с преподавателем-носителем языка, 2400 , 1410, 20 
Интенсивный курс с преподавателем-носителем португальского языка для компаний, 1800, 1580 ,  
Снятие и установка колес, 23400, 3130,  
Урок в группе английского языка для школьников, 6600 , 900,  
Занятие с русскоязычным репетитором японского языка, 2400 , 1260, 10 
Индивидуальный урок немецкого языка с русскоязычным преподавателем, 1800 , 990 , 5 
Интенсивный онлайн-курс немецкого языка для компаний по Skype, 4200 , 1840, 10 
Индивидуальный онлайн-урок немецкого языка по Skype, 4500, 970,  
Урок в группе китайского языка для взрослых, 4200 , 1730, 25 
Киноклуб французского языка для взрослых, 5400 , 1770 , 10 
Ремонт автоэлектрики, 27000, 4230, 10 
Урок в группе китайского языка для школьников, 3000 , 1180, 15 
Удаление катализатора, 30600, 1930 , 10 
Киноклуб китайского языка для студентов, 6000, 1990 ,  
Урок в группе китайского языка для студентов, 2400 , 2000 , 20 
Индивидуальный урок итальянского языка с русскоязычным преподавателем, 1800, 1330 , 20 
Киноклуб китайского языка для детей, 6000, 1120, 10 
Подготовка к экзамену TOEFL, 6000 , 1070, 5 
Урок в группе итальянского языка для взрослых, 2400, 1290 ,  
Индивидуальный урок английского языка с преподавателем-носителем языка, 7200 , 1300 ,  
Миндальный пилинг, 2700 , 2430, 15 
Занятие с репетитором-носителем французского языка, 3000, 2040 ,  
Занятие с русскоязычным репетитором английского языка, 5400, 1950, 15 
Индивидуальный урок испанского языка с преподавателем-носителем языка, 5400, 1200, 10 
Интенсивный онлайн-курс китайского языка для компаний по Skype, 7200, 1760 , 15 
Занятие с репетитором-носителем немецкого языка, 7200 , 1120 ,  
Киноклуб португальского языка для детей, 5400, 1710, 15 
Киноклуб португальского языка для студентов, 1800 , 1170, 15 
Киноклуб немецкого языка для взрослых, 6000, 1560, 10 
Урок в группе немецкого языка для школьников, 1800 , 1570, 15 
Урок в группе английского языка для взрослых, 3000 , 1010, 25 
Ремонт кронштейна глушителя, 34200, 1410,  
